FECHA,CAMBIO GTQ/USD,SUPERIOR GTQ/GALON,REGULAR GTQ/GALON,DIESEL GTQ/GALON,BUNKER GTQ/GALON,GTQ/CIL 25 LB,GTQ/LB
2024-01-01,7.82702,30.44,28.95,29.47,18.99,115.0,4.6
2024-01-02,7.82481,30.44,28.95,29.47,18.99,115.0,4.6
2024-01-03,7.82445,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-04,7.82409,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-05,7.82322,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-06,7.82322,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-07,7.82322,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-08,7.81941,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-09,7.81686,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-10,7.82016,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-11,7.81767,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-12,7.82083,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-13,7.82083,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-14,7.82083,30.47,28.97,29.48,18.99,115.0,4.6
2024-01-15,7.81224,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-16,7.81402,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-17,7.81651,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-18,7.81988,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-19,7.81782,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-20,7.81782,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-21,7.81782,30.29,28.79,28.55,18.49,115.0,4.6
2024-01-22,7.81494,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-23,7.81473,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-24,7.81578,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-25,7.8187,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-26,7.81541,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-27,7.81541,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-28,7.81541,30.9,29.39,29.11,17.99,115.0,4.6
2024-01-29,7.81382,30.97,29.48,29.19,17.99,115.0,4.6
2024-01-30,7.81142,30.97,29.48,29.19,17.99,115.0,4.6
2024-01-31,7.81454,30.97,29.48,29.19,17.99,115.0,4.6
2024-02-01,7.81252,30.97,29.48,29.19,17.99,115.0,4.6
2024-02-02,7.81323,30.97,29.48,29.19,17.99,115.0,4.6
2024-02-03,7.81323,30.97,29.48,29.19,17.99,115.0,4.6
2024-02-04,7.81323,30.97,29.48,29.19,17.99,115.0,4.6
2024-02-05,7.81166,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-06,7.81149,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-07,7.81172,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-08,7.81098,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-09,7.80938,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-10,7.80938,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-11,7.80938,31.46,29.96,30.44,17.99,115.0,4.6
2024-02-12,7.80661,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-13,7.80679,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-14,7.8062,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-15,7.80652,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-16,7.81128,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-17,7.81128,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-18,7.81128,31.47,29.97,30.47,17.49,115.0,4.6
2024-02-19,7.8033,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-20,7.81046,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-21,7.81151,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-22,7.81327,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-23,7.81274,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-24,7.81274,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-25,7.81274,31.97,30.48,30.98,17.69,115.0,4.6
2024-02-26,7.80942,32.45,30.95,30.97,17.89,115.0,4.6
2024-02-27,7.81045,32.45,30.95,30.97,17.89,115.0,4.6
2024-02-28,7.81473,32.45,30.95,30.97,17.89,115.0,4.6
2024-02-29,7.81768,32.45,30.95,30.97,17.89,115.0,4.6
2024-03-01,7.81835,32.45,30.95,30.97,17.89,115.0,4.6
2024-03-02,7.81835,32.45,30.95,30.97,17.89,115.0,4.6
2024-03-03,7.81835,32.45,30.95,30.97,17.89,115.0,4.6
2024-03-04,7.80899,32.89,31.4,30.7,18.09,115.0,4.6
